street,city,state,zip,country,Name,Location,PostalCode,Addess,InUseSince,Rating,Potential.Rating,Area,Energy.Savings,CO2.Savings,BGN.Savings,Investment,Payback,Building.Type1,Building.Type2,Lat,Lng,region
Ulitsa Hristo Botev 36,Nova Zagora,Sliven,8900,Bulgaria,ТЪРГОВСКА ЧАСТ,гр.НОВА ЗАГОРА,8900,ВАСИЛ ЛЕВСКИ 36,1960,B,A,391,20281,16.63,5471,38763,7.0851,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.4894371032714,26.0126438140869,SE
Ulitsa Patleyna 6,Shumen,Shumen,9703,Bulgaria,"ЖИЛ. СГРАДА-ШУМЕН, УЛ. ""ПАТЛЕЙНА"" 6",гр.ШУМЕН,9700,ул. ПАТЛЕЙНА № 6,1959,F,C,829.71,33368,27.32,6880,100427,14.5969,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2705650329589,26.9371643066406,NE
Ulitsa Akad. Petar Dinekov 25,Plovdiv,Plovdiv,4004,Bulgaria,МЖС УЛ АКАДЕМИК ПЕТЪР ДИНЕКОВ ПЛОВДИВ,гр.ПЛОВДИВ,4000,ул. АКАДЕМИК ПЕТЪР ДИНЕКОВ № 25 ет.5 ап.39,1974,E,C,3867,73421,60.14,18355,251720,13.7139,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1297874450683,24.7270450592041,SC
Ulitsa Staroselska 3,Svoge,Sofia,2260,Bulgaria,МБАЛ СВОГЕ - АДМИНИСТРАЦИЯ,гр.СВОГЕ,2260,УЛ. СТАРОСЕЛСКА 4,1955,G,B,312.8,40748,33.37,9594.72,49953.27,5.2063,"Здравеопазване (болници, поликлиники и др.)",7,42.9633979797363,23.3406867980957,SW
Ulitsa Tsar Ivan Shishman 5,Varna,Varna,9102,Bulgaria,"ДГ №49 ""БОРОВ КЪТ"" - с. КАМЕНАР",с.КАМЕНАР,9102,С. КАМЕНАР,1986,D,C,2594,20076,16.44,4216,46510,11.0317,Детско заведение (градини и ясли),2,43.2485580444335,27.9085865020751,NE
Ulitsa Lyuben Karavelov 12,Lovech,Lovech,5582,Bulgaria,ЧИТАЛИЩЕ с. МАЛИНОВО,с.МАЛИНОВО,5582,с.МАЛИНОВО,1964,G,B,741.8,128228,40.48,28450,186118,6.5419,Библиотеки и читалища,12,43.0378684997558,24.8842754364013,NW
Ulitsa Vasil Levski 43,Stara Zagora,Stara Zagora,6004,Bulgaria,ТЪРГ. ЧАСТ,гр.НОВА ЗАГОРА,8900,ул.ВАСИЛ ЛЕВСКИ # 43,1965,C,A,1294,17602,14.42,4752.46,36513,7.6829,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.4285545349121,25.6206283569335,SE
Ulitsa Asen Yordanov 12Zh,Sofia,Sofia-City,1407,Bulgaria,"ОФИС СГРАДА НА ""КОНТРОЛТЕСТ""",гр.СОФИЯ,1000,УЛ. АСЕН ЙОРДАНОВ-12,1956,D,B,548,27511,17.5,6878,60000,8.7234,Сгради за административно обслужване,1,42.6533737182617,23.3119869232177,SW
Ulitsa Tsar Osvoboditel 124,Shumen,Shumen,9700,Bulgaria,"СГРАДА НА ДЪРЖАВЕН  АРХИВ, УЛ.""ЦАР КАЛОЯН"" №18 - ШУМЕН",гр.ШУМЕН,9700,УЛ. ЦАР КАЛОЯН 18,1908,F,B,815,82932,56.66,14870,87585,5.89,Сгради за административно обслужване,1,43.2721824645996,26.9226398468017,NE
House Number and Street Not Found,Ugarchin,Lovech,5580,Bulgaria,СПОРТНА ЗАЛА  УГЪРЧИН,гр.УГЪРЧИН,5580,гр.УГЪРЧИН,1981,E,C,3165,236601,484.8,47320,274591,5.8028,Спортни зали и съоръжения,11,43.1062240600585,24.4126892089843,NW
zhk Zaharna Fabrika 69,Sofia,Sofia-City,1345,Bulgaria,МЖС,гр.СОФИЯ,1000,"Ж.К.ЗАХАРНА ФАБРИКА, БЛ.69""",1970,F,C,6099.5,287126,235.06,53029,394672,7.4425,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.7179527282714,23.2903079986572,SW
Ulitsa Krum Popov 1,Sofia,Sofia-City,1164,Bulgaria,ОФИС ЦЕНТЪР С ПОДЗЕМНИ ГАРАЖИ,гр.СОФИЯ,1000,УЛ. КРУМ ПОПОВ 1,2001,F,C,2463,106258,217.7,18280,10000,0.547,Сгради за административно обслужване,1,42.6846313476562,23.3292694091796,SW
Ulitsa Lotos 10,Plovdiv,Plovdiv,4006,Bulgaria,"МЖС-ПЛОВДИВ, ""ИЗГРЕВ"", БЛ. 216",гр.ПЛОВДИВ,4000,"ул. ЛОТОС №10, жк. ИЗГРЕВ, бл. 216",1975,G,C,5420.15,426528,349.33,110897.28,371305,3.3481,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.154182434082,24.7884330749511,SC
Bulevard Balgaria 35,Varshets,Montana,3540,Bulgaria,УЧЕБЕН ЦЕНТЪР НА ВИК,гр.ВЪРШЕЦ,3540,БУЛ. БЪЛГАРИЯ 34,1980,C,C,1077,2352,4.82,418.14,2700,6.4571,"Образователни (училища, колежи и университети)",6,43.1950874328613,23.2790336608886,NW
House Number and Street Not Found,Petrich,Blagoevgrad,2850,Bulgaria,АДМИН.-ДЕЛОВА СГРАДА,гр.ПЕТРИЧ,2850,УЛ. ГЕН. ТОДОРОВ-5,1940,D,C,564,51799,35,9325,72519,7.7768,Сгради за административно обслужване,1,41.3960151672363,23.2033042907714,SW
Ulitsa Preslav 45,Varna,Varna,9028,Bulgaria,АРХИВ НА ОБЛАСТНА АДМИНИСТРАЦИЯ-ВАРНА,гр.ВАРНА,9000,УЛ. ПРЕСЛАВ-26,1965,D,B,401,49093,100.4,10240,88200,8.6132,Сгради за административно обслужване,1,43.2014923095703,27.9154605865478,NE
Sv. sv. Konstantin i Elena & Ulitsa 61-va,Varna,Varna,Postcode Not Found,Bulgaria,ПОЧИВНА БАЗА - ВАРНА,гр.ВАРНА,9000,СВ. КОНСТАНТИН И ЕЛЕНА,1976,D,B,731,101883,69.6,15780,63048,3.9954,Хотели и ресторанти,8,43.2316589355468,28.0102424621582,NE
Ulitsa 511 22,Sofia,Sofia-City,1517,Bulgaria,"НЧ ""АСЕН ЗЛАТАРОВ""",гр.СОФИЯ,1000,"УЛ""511""-№29",1968,G,B,384,40315,33.02,6730,49342,7.3316,Библиотеки и читалища,12,42.6898918151855,23.3832492828369,SW
Ulitsa Hristo Yanchev 63,Dolni Dabnik,Pleven,5870,Bulgaria,"НУ ""СВ. СВ. КИРИЛ И МЕТОДИЙ"", СГР. 1, КОРПУС 2",гр.ДОЛНИ ДЪБНИК,5870,УЛ. ХР. ЯНЧЕВ-59,1964,D,B,275,9976,6.81,2630,41335,15.7167,"Образователни (училища, колежи и университети)",6,43.4088630676269,24.4426727294921,NW
Ulitsa Tsvyatko Radoynov,Kameno,Burgas,8105,Bulgaria,"АДМИН. СГРАДА НА ЗКПУ ""РУСОКАСТРО""",с.РУСОКАСТРО,8105,с.РУСОКАСТРО,1960,E,C,395,12328,10.1,2750,36550,13.2909,Сгради за административно обслужване,1,42.4654846191406,27.1869449615478,SE
House Number and Street Not Found,Nesebar,Burgas,Postcode Not Found,Bulgaria,"ХОТЕЛ ""ДУНАВ""",гр.НЕСЕБЪР,8230,СЛ. БРЯГ,1964,B,B,7785,27005,18.44,6022,48000,7.9707,Хотели и ресторанти,8,42.6883316040039,27.7142181396484,SE
Ulitsa Mara Mihaylova,Kardzhali,Kardzhali,6600,Bulgaria,"ПГЕЕ ""КАП. ПЕТКО ВОЙВОДА""-ОБЩЕЖИТИЕ",гр.КЪРДЖАЛИ,6600,УЛ. МАРА МИХАЙЛОВА-5,1969,D,B,2462.8,141712,290.6,28344,183839,6.4859,"Образователни (училища, колежи и университети)",6,41.6354179382324,25.37251663208,SC
Ulitsa Knyaz Boris I 27,Vidin,Vidin,3703,Bulgaria,СГРАДА НА ДЪРЖАВЕН  АРХИВ - ВИДИН,гр.ВИДИН,3700,УЛ. КНЯЗ БОРИС -27,1925,E,B,1845.3,119454,81.59,19500,166505,8.5387,Сгради за административно обслужване,1,43.9915122985839,22.8818244934082,NW
Bulevard Ruski 54,Etropole,Sofia,2180,Bulgaria,ОБЩЕЖИТИЕ КЪМ ПРОФЕСИОНАЛНА ГИМНАЗИЯ-ЕТРОПОЛЕ,гр.ЕТРОПОЛЕ,2180,БУЛ. РУСКИ,1965,E,B,3675,168272,344.68,33530,205050,6.1154,"Образователни (училища, колежи и университети)",6,42.8369216918945,24.0001373291015,SW
House Number and Street Not Found,Montana,Montana,3400,Bulgaria,СГРАДА НА ДЪРЖАВЕН  АРХИВ - МОНТАНА,гр.МОНТАНА,3400,УЛ. ТРЕТИ МАРТ 38,1980,E,B,2929.65,154380,105.44,25790,191890,7.4404,Сгради за административно обслужване,1,43.4027442932128,23.2223777770996,NW
Ulitsa Veliko Hristov,Varna,Varna,9000,Bulgaria,МЕЖДУНАРОДЕН КОЛЕЖ ВАРНА,гр.ВАРНА,9000,УЛ. ОБОРИЩЕ 12А,1960,D,C,2057,57914,43.1,12162,112254,9.2298,"Образователни (училища, колежи и университети)",6,43.2103157043457,27.9069423675537,NE
House Number and Street Not Found,Rudozem,Smolyan,4960,Bulgaria,КУЛТУРЕН ДОМ  РУДОЗЕМ,гр.РУДОЗЕМ,4860,БУЛ. БЪЛГАРИЯ 15,1956,E,B,2112,252915,518.12,98637,586324,5.9442,"Театри,кина,опери,худож.галерии",13,41.4879302978515,24.8486175537109,SC
House Number and Street Not Found,Plovdiv,Plovdiv,4000,Bulgaria,ИЗЛОЖБЕНА ГАЛЕРИЯ,гр.ПЛОВДИВ,4000,УЛ. ГЛАДСТОН 32,1975,E,B,1333.2,49450,40.5,10880,84004,7.7209,"Театри,кина,опери,худож.галерии",13,42.1430931091308,24.7454853057861,SC
Ulitsa Peyo Kr. Yavorov 25A,Chirpan,Stara Zagora,6200,Bulgaria,"МЦ ""Д-Р НИКОЛАЙ ТОШЕВ""-ЧИРПАН",гр.ЧИРПАН,6200,"УЛ. ""П. К. ЯВОРОВ"" №19",1962,E,B,2624.4,67777,55.51,16266,217706,13.3841,"Здравеопазване (болници, поликлиники и др.)",7,42.2001876831054,25.3277702331542,SE
House Number and Street Not Found,Dimitrovgrad,Haskovo,6400,Bulgaria,"МЖС-ДИМИТРОВГРАД, ""З. ЗОГРАФ"" 18",гр.ДИМИТРОВГРАД,6400,ул. ЗАХАРИ ЗОГРАФ № 18,1982,F,B,3709.14,223698,550,46080,399323,8.6658,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0617942810058,25.5968284606933,SC
House Number and Street Not Found,Kardzhali,Kardzhali,6600,Bulgaria,АДМИН. СГРАДА /БИВШ ОНС/,гр.КЪРДЖАЛИ,6600,гр.КЪРДЖАЛИ,1958,G,B,4494,661286,1354.86,152096.7,424935,2.7938,Сгради за административно обслужване,1,41.6338424682617,25.3779125213623,SC
Ulitsa Yordan Yovkov 14,Plovdiv,Plovdiv,4002,Bulgaria,ЖИЛ. СГРАДА - ПЛОВДИВ,гр.ПЛОВДИВ,4000,ул. ЙОРДАН ЙОВКОВ № 14,1998,F,B,1233.9,59514,40.64,10710.36,67442.17,6.2969,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1395874023437,24.7407665252685,SC
Bulevard Tsar Simeon Veliki 3,Stara Zagora,Stara Zagora,6003,Bulgaria,"АТЦ ""ТРИТЕ ЧУЧУРА""-СТАРА ЗАГОРА",гр.СТАРА ЗАГОРА,6000,"БУЛ. ""ЦАР СИМЕОН ВЕЛИКИ"" №3",1982,E,B,2494,331566,271.54,56034.147,390955,6.977,Сгради за административно обслужване,1,42.4202728271484,25.6107845306396,SE
Ulitsa Petar Beron,Oryahovo,Vratsa,3300,Bulgaria,АДМИН СГРАДА НА ВИК ВРАЦА - ОРЯХОВО,гр.ОРЯХОВО,3300,УЛ. КИРИЛ И МЕТОДИ 2,1969,G,B,763,29011,23.5,5454,30514,5.5947,Сгради за административно обслужване,1,43.7375946044921,23.9568500518798,NW
Razdelna,Beloslav,Varna,9181,Bulgaria,НЧ - с. РАЗДЕЛНА,с.РАЗДЕЛНА,9181,с.РАЗДЕЛНА,1965,G,C,410.64,20464,17.5,4088,36930,9.0337,Библиотеки и читалища,12,43.1663551330566,27.6357860565185,NE
Bulevard Plovdiv 19,Saedinenie,Plovdiv,4190,Bulgaria,БЮРО ПО ТРУДА - СЪЕДИНЕНИЕ,гр.СЪЕДИНЕНИЕ,4190,БУЛ. ПЛОВДИВ-9,1982,E,B,308,15663,10.69,2897.85,19941,6.8813,Сгради за административно обслужване,1,42.2722740173339,24.5454959869384,SC
Ulitsa Odrin,Burgas,Burgas,8001,Bulgaria,ДЕЖУРЕН ПУНКТ И ГАРАЖ ДРЕЗИНИ,гр.БУРГАС,8000,БУРГАС,1974,F,B,715.15,88711,72.73,18620,102892,5.5258,"Транспорт (гари, пристанища и летища)",10,42.5047912597656,27.4626369476318,SE
Bulevard Balgaria 136,Haskovo,Haskovo,6300,Bulgaria,АДМИН. СГРАДА НА БТК - ХАСКОВО,гр.ХАСКОВО,6300,БУЛ. БЪЛГАРИЯ148,1951,D,B,4842,244606,167,32549,329070,10.1099,Сгради за административно обслужване,1,41.9336738586425,25.5510482788085,SC
Ulitsa Geo Milev 37,Belene,Pleven,5930,Bulgaria,МБАЛ БЕЛЕНЕ,гр.БЕЛЕНЕ,5930,УЛ. ГЕО МИЛЕВ 47,1987,F,C,3254,333813,684.22,66763,244465,3.6616,"Здравеопазване (болници, поликлиники и др.)",7,43.6471862792968,25.1150760650634,NW
Ulitsa Dobrudzha 5,Aksakovo,Varna,9154,Bulgaria,"ЦДГ №38 ""ЯН БИБИЯН""-ФИЛИАЛ-ВАРНА",гр.ВАРНА,9000,"УЛ. ""ДОБРУДЖА"" №1",1957,G,C,275,33425,27.83,9359,34573.1,3.6941,Детско заведение (градини и ясли),2,43.2626037597656,27.8158130645751,NE
House Number and Street Not Found,Rila,Kyustendil,2630,Bulgaria,МАСИВНА СГРАДА УЧИЛИЩЕ-ОБЩЕЖИТИЕ,гр.РИЛА,2630,РИЛА,1979,D,B,2193,146269,100.05,29623.9,150664,5.0858,"Образователни (училища, колежи и университети)",6,42.125675201416,23.1315860748291,SW
House Number and Street Not Found,Shumen,Shumen,9703,Bulgaria,ТЪРГОВСКИ КОМПЛЕКС,гр.ШУМЕН,9700,БУЛ. ПЛИСКА 36,1948,D,NA,1496,94314,193.09,19240,72690,3.778,Магазини за продажба на дребно иедро (супермаркети и молове),9,43.2716102600097,26.9357318878173,NE
House Number and Street Not Found,Blagoevgrad,Blagoevgrad,2700,Bulgaria,АДМИН. СГРАДА НА ЧЕЗ - БЛАГОЕВГРАД,гр.БЛАГОЕВГРАД,2700,БЛАГОЕВГРАД,1990,G,B,2652,195522,160.42,50837,150775,2.9658,Сгради за административно обслужване,1,42.0208587646484,23.0948390960693,SW
Bulevard Saedinenie,Haskovo,Haskovo,6300,Bulgaria,ТРАКИЙСКИ УНИВЕРСИТЕТ -  ФИЛИАЛ  ХАСКОВО,гр.ХАСКОВО,6300,БУЛ. СЪЕДИНЕНИЕ 48,1967,F,C,4077,87614,179.44,22930,185444,8.0873,"Образователни (училища, колежи и университети)",6,41.9319648742675,25.5677394866943,SC
Bulevard Tsar Boris III Obedinitel 56,Plovdiv,Plovdiv,4000,Bulgaria,МНОГОФАМИЛНА  СГРАДА,гр.ПЛОВДИВ,4000,ЦАР БОРИС ТРЕТИ-56,1964,F,C,1119,37658,25.71,6778.36,44378.69,6.5471,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1511116027832,24.7495021820068,SC
Ulitsa Tsar Simeon I 24,Varna,Varna,9028,Bulgaria,ЕТНОГРАФСКИ МУЗЕЙ,гр.ВАРНА,9000,УЛ. ПАНАГЮРИЩЕ 22,1974,C,C,812,6362,5.21,1336.55,10450,7.8186,"Театри,кина,опери,худож.галерии",13,43.2011795043945,27.9129028320312,NE
Ulitsa Vasil Levski 49,Stara Zagora,Stara Zagora,6004,Bulgaria,ТЪРГ. ЧАСТ,гр.НОВА ЗАГОРА,8900,"ул.""ВАСИЛ ЛЕВСКИ"" 51",1965,B,A,389,9158,7.4,2460.2,25571,10.3938,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.4287643432617,25.6219596862792,SE
Ulitsa Nikola Bonev,Sofia,Sofia-City,1830,Bulgaria,СБДПЛР-БУХОВО -ПОЛИКЛИНИКА,гр.БУХОВО,1830,гр.БУХОВО,1953,F,B,1372,100097,205.08,18417,126851,6.8877,"Здравеопазване (болници, поликлиники и др.)",7,42.7654113769531,23.5685863494873,SW
Ulitsa Targovska 42,Bansko,Blagoevgrad,2777,Bulgaria,"ЧИТАЛИЩЕ ""ДИМИТЪР БЛАГОЕВ""- ДОБРИНИЩЕ",с.ДОБРИНИЩЕ,2777,с.ДОБРИНИЩЕ,1978,D,C,2647,98468,201.76,27572,164592,5.9695,Библиотеки и читалища,12,41.8201942443847,23.5593852996826,SW
Ulitsa Lyuben Karavelov 37,Troyan,Lovech,5600,Bulgaria,АДМИН. СГРАДА НА ОА-УЛ. Л. КАРАВЕЛОВ-42,гр.ТРОЯН,5600,УЛ. Л. КАРАВЕЛОВ,1964,G,B,1032.7,102315,83.6,20463,117612.7,5.7475,Сгради за административно обслужване,1,42.8889808654785,24.7115688323974,NW
Ulitsa Balgarsko opalchenie,Maglizh,Stara Zagora,6167,Bulgaria,МИНЕРАЛНА БАНЯ,с.ЯГОДА,6167,с.ЯГОДА,1928,D,A,1448,280818,191.92,56200,223860,3.9832,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,42.5433807373046,25.5670509338378,SE
zhk P. R. Slaveykov & Bulevard Trakia,Burgas,Burgas,8010,Bulgaria,БЛ 72 - БУРГАС - ТЪРГОВСКА ЧАСТ,гр.БУРГАС,8000,БЛ.72 ЖК СЛАВЕЙКОВ,1994,E,D,1047,23996,19.65,6959,110466,15.8738,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.520206451416,27.4516792297363,SE
zhk Bratya Miladinovi 32,Burgas,Burgas,8001,Bulgaria,"МЖС-БУРГАС, БЛ. 32-ТЪРГОВСКА ЧАСТ",гр.БУРГАС,8000,ж.к.БРАТЯ МИЛАДИНОВИ бл. 32,1987,B,B,528.28,7901,6.47,1628,16001,9.8286,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.504596710205,27.4698944091796,SE
Ulitsa Kishinev 15,Varna,Varna,9003,Bulgaria,"ДГ №44 ""В.ТЕРЕШКОВА""-ФИЛИАЛ НА ЦДГ №17",гр.ВАРНА,9000,УЛ. КИШЕНЕВ 11,1967,F,C,345.6,32224,26.14,6767,23361,3.4521,Детско заведение (градини и ясли),2,43.1834297180175,27.8831996917724,NE
Ulitsa Sveta gora 3,Plovdiv,Plovdiv,4000,Bulgaria,"ОУ ""ГЕО МИЛЕВ"" - МАЛКА СГРАДА",гр.ПЛОВДИВ,4000,УЛ. ИВАН ПЕРПЕЛИЕВ 2,1951,D,C,499,24929,51.08,4985,41128,8.2503,"Образователни (училища, колежи и университети)",6,42.1455497741699,24.7539329528808,SC
Ulitsa Aleksandar Stamboliyski 31,Septemvri,Pazardzhik,4490,Bulgaria,АДМИН. СГРАДА НА ОБЩИНСКА АДМИНИСТРАЦИЯ,гр.СЕПТЕМВРИ,4490,УЛ. АЛ. СТАМБОЛИЙСКИ 37A,1980,C,A,2926.74,146367,121,32200,391631,12.1624,Сгради за административно обслужване,1,42.209903717041,24.1290645599365,SC
Ulitsa Krum Damyanov,Tsenovo,Ruse,7123,Bulgaria,ТЪРГОВСКА СГРАДА -С. ДОЛНА СТУДЕНА,с.ДОЛНА СТУДЕНА,7123,с.ДОЛНА СТУДЕНА,1968,E,A,699,113713,93.12,22742.2,99226.7,4.3631,Магазини за продажба на дребно иедро (супермаркети и молове),9,43.526870727539,25.6945095062255,NC
House Number and Street Not Found,Dzhebel,Kardzhali,6850,Bulgaria,ФИЛИАЛ ЗА СПЕШМА МЕД.ПОМОЩ-ДЖЕБЕЛ КЪМ ЦСМП -ОБЛ.КЪРДЖАЛИ,гр.ДЖЕБЕЛ,6850,ДЖЕБЕЛ,1972,E,C,938,63370,129.85,12674,93616,7.3864,"Здравеопазване (болници, поликлиники и др.)",7,41.4963226318359,25.304536819458,SC
Kvartal Hristo Botev,Dimitrovgrad,Haskovo,6400,Bulgaria,ХОТЕЛ - ПАНСИОН НА ТИ ВИ БИ ООД,гр.ДИМИТРОВГРАД,6400,Н. ВАПЦАРОВ-14,1951,D,B,1492,237863,487.21,42632.14,382190,8.9648,Хотели и ресторанти,8,42.0499687194824,25.5815048217773,SC
5504,Galabovo,Stara Zagora,6293,Bulgaria,ЗДРАВНА СЛУЖБА - с. ИСКРИЦА,с.ИСКРИЦА,6293,с. ИСКРИЦА,1980,F,B,165.86,14718,12.06,3515,21639,6.1561,"Здравеопазване (болници, поликлиники и др.)",7,42.134178161621,26.0460777282714,SE
Ulitsa Tsar Asen,Plovdiv,Plovdiv,4000,Bulgaria,МНОГОФАМИЛНА ЖИЛ. СГРАДА,гр.ПЛОВДИВ,4000,УЛ. ИВАН ВАЗОВ-8,1960,E,C,2290.16,130413,89.09,22169.96,104717.03,4.7233,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1408309936523,24.748628616333,SC
Bulevard Sv. sv Kiril i Metodiy 29,Blagoevgrad,Blagoevgrad,2700,Bulgaria,ЗООПАРК БЛАГОЕВГРАД-АДМИНИСТР. СГРАДА,гр.БЛАГОЕВГРАД,2700,гр.БЛАГОЕВГРАД,1960,D,A,145,27696,18.94,10247.51,52684,5.1411,Сгради за административно обслужване,1,42.0208587646484,23.0945396423339,SW
Ulitsa Han Krum,Kyustendil,Kyustendil,2500,Bulgaria,"ХГ ""ВЛ. ДИМИТРОВ-МАЙСТОРА""",гр.КЮСТЕНДИЛ,2500,УЛ. П. ЕВТИМИЙ-20,1972,B,A,2800,78919,53.9,27621.5,152182,5.5095,"Образователни (училища, колежи и университети)",6,42.2825317382812,22.6884956359863,SW
House Number and Street Not Found,Veliko Tarnovo,Veliko Tarnovo,5000,Bulgaria,"СГРАДА НА ДЪРЖАВЕН  АРХИВ, УЛ. ""ЧИТАЛИЩНА""-2 - В. ТЪРНОВО",гр.ВЕЛИКО ТЪРНОВО,5000,УЛ. ЧИТАЛИЩНА 2,1901,E,B,1041.45,87886,60.03,15730,70490,4.4812,Сгради за административно обслужване,1,43.0806274414062,25.6431732177734,NC
Ulitsa Koprivshtitsa,Burgas,Burgas,8001,Bulgaria,МЖС,гр.БУРГАС,8000,"ж.к.""ЛАЗУР"", бл.76",1971,E,C,10378.4,417252,341.74,77191,695150.2,9.0055,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5096778869628,27.4753608703613,SE
Ulitsa Tsvyatko Radoynov,Kameno,Burgas,8105,Bulgaria,"ОУ ""ИВАН ВАЗОВ"" - С. РУСОКАСТРО",с.РУСОКАСТРО,8105,С. РУСОКАСТРО,1932,G,C,976,128737,263.83,23290,131200,5.6333,"Образователни (училища, колежи и университети)",6,42.4654846191406,27.1867446899414,SE
Bulevard Peshtersko shose 77,Plovdiv,Plovdiv,4002,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - ПЛОВДИВ, ""ПЕЩЕРСКО ШОСЕ""",гр.ПЛОВДИВ,4000,"БУЛ. ""ПЕЩЕРСКО ШОСЕ"" №34",2010,E,B,1624.56,43228,35.4,8300,31680,3.8168,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.1380157470703,24.7209033966064,SC
